Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
19/09/2020,Fiorentina,Torino,1,0,H,1.83,3.75,4.2,1.91,3.7,3.9,1.94,3.85,4.6,1.87,3.69,4.13,1.8,2.0,2.1,1.9,2.02,1.81,5,2020/2021
19/09/2020,Verona,Roma,0,0,D,3.75,3.5,1.95,3.6,3.5,2.0,4.0,3.81,2.08,3.82,3.65,1.96,1.8,2.0,2.13,1.87,2.03,1.79,5,2020/2021
20/09/2020,Parma,Napoli,0,2,A,5.25,4.2,1.61,5.0,4.1,1.65,5.8,4.52,1.67,5.13,4.16,1.63,1.61,2.3,2.39,1.68,2.29,1.62,6,2020/2021
20/09/2020,Genoa,Crotone,4,1,H,1.9,3.6,4.0,1.91,3.6,4.0,1.98,3.8,4.35,1.91,3.59,4.03,1.9,1.9,1.99,2.0,1.89,1.91,6,2020/2021
20/09/2020,Sassuolo,Cagliari,1,1,D,1.95,3.75,3.75,1.95,3.9,3.6,2.0,3.98,3.98,1.95,3.8,3.67,1.57,2.37,2.49,1.67,2.36,1.59,6,2020/2021
20/09/2020,Juventus,Sampdoria,3,0,H,1.28,5.5,10.5,1.28,6.0,10.0,1.32,6.25,12.25,1.28,5.86,10.22,1.57,2.37,2.58,1.63,2.45,1.55,6,2020/2021
21/09/2020,Milan,Bologna,2,0,H,1.57,4.33,5.5,1.57,4.25,5.5,1.63,4.6,6.0,1.58,4.31,5.48,1.57,2.37,2.5,1.66,2.36,1.59,0,2020/2021
26/09/2020,Torino,Atalanta,2,4,A,4.75,4.4,1.61,4.6,4.25,1.67,5.25,4.6,1.76,4.84,4.25,1.65,1.57,2.37,2.55,1.59,2.41,1.56,5,2020/2021
26/09/2020,Cagliari,Lazio,0,2,A,5.0,4.0,1.66,4.75,4.0,1.7,5.25,4.2,1.76,4.87,4.01,1.68,1.66,2.2,2.37,1.7,2.23,1.65,5,2020/2021
26/09/2020,Sampdoria,Benevento,2,3,A,2.0,3.6,3.6,2.0,3.6,3.7,2.08,3.65,3.92,2.02,3.52,3.69,1.8,2.0,2.07,1.89,1.99,1.81,5,2020/2021
26/09/2020,Inter,Fiorentina,4,3,H,1.5,4.5,6.0,1.55,4.1,6.25,1.6,4.7,6.55,1.55,4.27,5.92,1.66,2.2,2.35,1.73,2.22,1.66,5,2020/2021
27/09/2020,Spezia,Sassuolo,1,4,A,4.75,4.0,1.66,4.75,4.0,1.7,5.25,4.1,1.75,4.82,3.94,1.7,1.72,2.1,2.23,1.78,2.12,1.72,6,2020/2021
27/09/2020,Napoli,Genoa,6,0,H,1.3,5.5,10.0,1.3,5.5,9.75,1.33,6.0,11.25,1.3,5.57,9.83,1.57,2.37,2.52,1.61,2.41,1.56,6,2020/2021
27/09/2020,Verona,Udinese,1,0,H,2.7,3.0,2.8,2.75,3.0,2.85,2.85,3.2,2.88,2.74,3.08,2.76,2.3,1.61,1.66,2.45,1.59,2.33,6,2020/2021
27/09/2020,Crotone,Milan,0,2,A,6.0,4.5,1.5,5.75,4.5,1.53,6.5,4.7,1.58,5.94,4.39,1.53,1.66,2.2,2.3,1.76,2.18,1.68,6,2020/2021
