HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
9.0,99.0,0,3,0,6.0,4.33,1.53,5.5,4.25,1.57,6.55,4.55,1.6,5.94,4.34,1.55,1.72,2.1,2.18,1.84,2.1,1.76,5,12,9,5,
99.0,19.0,2,1,0,1.53,4.5,5.5,1.53,4.33,6.0,1.57,4.75,6.55,1.53,4.51,5.91,1.66,2.2,2.41,1.7,2.3,1.64,5,19,9,5,
12.0,99.0,3,1,0,1.45,4.75,6.5,1.5,4.75,5.75,1.54,5.0,6.95,1.49,4.68,6.3,1.53,2.5,2.6,1.57,2.48,1.54,0,28,9,0,
99.0,0.0,2,1,0,1.57,4.0,6.0,1.55,4.1,6.25,1.6,4.3,6.75,1.56,4.09,6.25,1.9,1.9,1.98,2.02,1.89,1.93,6,4,10,6,
13.0,99.0,1,0,0,1.44,5.0,6.5,1.48,4.75,6.0,1.53,5.1,6.55,1.49,4.85,6.09,1.44,2.75,2.95,1.46,2.8,1.43,5,17,10,5,
99.0,11.0,0,1,0,1.9,3.75,3.8,1.91,3.8,3.8,1.98,3.9,4.1,1.93,3.74,3.92,1.72,2.1,2.2,1.82,2.12,1.74,6,25,10,6,
98.0,99.0,0,1,0,2.0,3.6,3.6,2.0,3.7,3.6,2.1,3.85,3.76,2.04,3.66,3.58,1.72,2.1,2.22,1.81,2.12,1.74,6,1,11,6,
99.0,2.0,0,3,0,1.65,4.1,5.0,1.7,4.0,4.75,1.75,4.2,5.27,1.7,3.97,4.92,1.66,2.2,2.34,1.74,2.22,1.68,6,8,11,6,
0.0,99.0,0,0,0,3.0,3.75,2.2,3.1,3.75,2.15,3.28,3.84,2.3,3.13,3.7,2.21,1.66,2.2,2.38,1.72,2.24,1.66,6,22,11,6,
99.0,20.0,1,2,0,2.05,3.4,3.75,2.05,3.4,3.8,2.22,3.45,3.81,2.13,3.28,3.72,2.3,1.61,1.73,2.44,1.62,2.31,6,29,11,6,
18.0,99.0,2,0,0,1.95,3.6,3.8,1.95,3.6,3.8,2.1,3.7,4.0,2.01,3.54,3.79,1.9,1.9,2.0,1.99,1.9,1.92,6,6,12,6,
99.0,0.0,0,1,0,1.53,4.2,6.25,1.55,4.1,6.25,1.58,4.48,7.0,1.54,4.22,6.42,1.9,1.9,1.98,1.97,1.92,1.9,6,13,12,6,
99.0,17.0,1,1,0,2.25,3.5,3.1,2.2,3.5,3.2,2.33,3.68,3.32,2.25,3.47,3.19,1.8,2.0,2.1,1.86,2.03,1.8,2,16,12,2,
8.0,99.0,2,1,0,2.45,3.5,2.8,2.25,3.5,3.1,2.53,3.6,3.1,2.42,3.44,2.93,1.8,2.0,2.05,1.91,1.98,1.84,5,19,12,5,
