Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
19/09/2020,Fiorentina,Torino,1,0,H,1.83,3.75,4.2,1.91,3.7,3.9,1.94,3.85,4.6,1.87,3.69,4.13,1.8,2.0,2.1,1.9,2.02,1.81,5,2020/2021
26/09/2020,Torino,Atalanta,2,4,A,4.75,4.4,1.61,4.6,4.25,1.67,5.25,4.6,1.76,4.84,4.25,1.65,1.57,2.37,2.55,1.59,2.41,1.56,5,2020/2021
18/10/2020,Torino,Cagliari,2,3,A,2.1,3.5,3.4,2.15,3.4,3.4,2.25,3.55,3.5,2.19,3.44,3.33,1.9,1.9,2.01,1.93,1.94,1.86,6,2020/2021
23/10/2020,Sassuolo,Torino,3,3,D,1.66,4.33,4.5,1.67,4.33,4.6,1.78,4.46,4.8,1.71,4.28,4.42,1.44,2.75,2.86,1.48,2.7,1.45,4,2020/2021
01/11/2020,Torino,Lazio,3,4,A,3.6,3.8,1.9,2.6,3.7,2.55,2.64,3.78,2.77,2.52,3.6,2.66,1.61,2.3,2.39,1.69,2.27,1.63,6,2020/2021
04/11/2020,Genoa,Torino,1,2,A,2.35,3.5,2.8,2.4,3.5,2.85,2.49,3.67,2.99,2.4,3.51,2.89,1.8,2.0,2.11,1.85,2.03,1.79,2,2020/2021
08/11/2020,Torino,Crotone,0,0,D,1.95,3.75,3.6,2.05,3.6,3.5,2.12,3.82,3.82,2.01,3.64,3.61,1.72,2.1,2.25,1.78,2.13,1.72,6,2020/2021
22/11/2020,Inter,Torino,4,2,H,1.33,5.75,8.0,1.35,5.5,8.0,1.4,6.0,8.7,1.34,5.53,8.04,1.4,3.0,3.15,1.42,2.9,1.4,6,2020/2021
30/11/2020,Torino,Sampdoria,2,2,D,2.5,3.5,2.75,2.5,3.5,2.75,2.66,3.7,2.87,2.53,3.46,2.73,1.72,2.1,2.24,1.77,2.13,1.7,0,2020/2021
05/12/2020,Juventus,Torino,2,1,H,1.4,5.0,7.0,1.4,5.0,7.25,1.46,5.25,8.5,1.4,4.95,7.38,1.53,2.5,2.63,1.56,2.51,1.52,5,2020/2021
12/12/2020,Torino,Udinese,2,3,A,2.9,3.25,2.5,2.8,3.4,2.5,2.97,3.4,2.67,2.86,3.27,2.54,1.9,1.9,1.94,2.01,1.87,1.93,5,2020/2021
17/12/2020,Roma,Torino,3,1,H,1.4,5.0,6.5,1.44,4.75,7.0,1.47,5.38,7.5,1.42,5.01,6.75,1.4,3.0,3.1,1.43,2.9,1.4,3,2020/2021
20/12/2020,Torino,Bologna,1,1,D,2.6,3.5,2.6,2.65,3.5,2.6,2.74,3.68,2.71,2.62,3.5,2.62,1.66,2.2,2.29,1.73,2.19,1.68,6,2020/2021
23/12/2020,Napoli,Torino,1,1,D,1.36,5.25,8.0,1.35,5.25,8.5,1.39,5.75,9.0,1.35,5.31,8.25,1.5,2.62,2.7,1.53,2.6,1.49,2,2020/2021
03/01/2021,Parma,Torino,0,3,A,2.75,3.2,2.6,2.9,3.1,2.6,3.0,3.3,2.72,2.85,3.19,2.6,1.8,2.0,2.14,1.87,2.03,1.78,6,2020/2021
06/01/2021,Torino,Verona,1,1,D,2.5,3.3,2.75,2.55,3.3,2.85,2.74,3.48,2.9,2.6,3.31,2.78,2.0,1.8,1.89,2.06,1.82,2.0,2,2020/2021
09/01/2021,Milan,Torino,2,0,H,1.61,3.9,5.5,1.65,3.75,5.5,1.7,4.1,5.93,1.65,3.89,5.42,1.72,2.1,2.31,1.77,2.16,1.7,5,2020/2021
16/01/2021,Torino,Spezia,0,0,D,2.0,3.5,3.75,2.0,3.3,3.9,2.12,3.58,4.24,2.01,3.39,3.92,1.9,1.9,2.03,1.93,1.94,1.87,5,2020/2021
22/01/2021,Benevento,Torino,2,2,D,2.8,3.2,2.6,2.85,3.2,2.6,2.96,3.36,2.72,2.85,3.23,2.59,1.9,1.9,1.92,2.05,1.85,1.96,4,2020/2021
29/01/2021,Torino,Fiorentina,1,1,D,2.7,3.25,2.62,2.65,3.2,2.8,2.8,3.35,2.86,2.72,3.2,2.74,2.2,1.66,1.77,2.26,1.7,2.16,4,2020/2021
06/02/2021,Atalanta,Torino,3,3,D,1.4,5.0,7.0,1.42,5.0,7.0,1.49,5.13,8.08,1.43,4.87,6.97,1.53,2.5,2.63,1.57,2.48,1.53,5,2020/2021
13/02/2021,Torino,Genoa,0,0,D,1.9,3.4,4.2,2.0,3.2,4.2,2.07,3.42,4.43,1.99,3.27,4.14,2.0,1.8,1.85,2.1,1.78,2.03,5,2020/2021
19/02/2021,Cagliari,Torino,0,1,A,2.87,3.3,2.45,2.85,3.3,2.5,2.96,3.38,2.71,2.87,3.26,2.56,2.1,1.72,1.87,2.16,1.78,2.04,4,2020/2021
07/03/2021,Crotone,Torino,4,2,H,3.6,3.4,2.05,3.7,3.3,2.1,4.0,3.55,2.16,3.76,3.36,2.07,2.04,1.86,1.84,2.13,1.78,2.04,6,2020/2021
14/03/2021,Torino,Inter,1,2,A,8.0,5.0,1.36,7.75,4.75,1.4,9.0,5.25,1.44,8.18,4.84,1.39,1.66,2.2,2.33,1.71,2.25,1.65,6,2020/2021
17/03/2021,Torino,Sassuolo,3,2,H,2.45,3.4,2.8,2.45,3.25,3.0,2.62,3.52,3.0,2.5,3.38,2.84,1.8,2.0,2.12,1.84,2.04,1.78,2,2020/2021
21/03/2021,Sampdoria,Torino,1,0,H,2.37,3.3,3.0,2.5,3.2,2.95,2.58,3.32,3.1,2.48,3.23,2.96,2.0,1.8,1.91,2.06,1.82,1.98,6,2020/2021
03/04/2021,Torino,Juventus,2,2,D,6.0,4.5,1.5,6.25,4.5,1.5,7.25,4.7,1.57,6.21,4.38,1.52,1.66,2.2,2.39,1.71,2.26,1.64,5,2020/2021
10/04/2021,Udinese,Torino,0,1,A,2.4,3.3,3.0,2.4,3.25,3.1,2.46,3.43,3.39,2.38,3.23,3.16,2.2,1.66,1.76,2.24,1.7,2.15,5,2020/2021
18/04/2021,Torino,Roma,3,1,H,3.3,3.6,2.1,3.3,3.5,2.15,3.5,3.75,2.2,3.34,3.59,2.12,1.61,2.3,2.4,1.68,2.31,1.61,6,2020/2021
21/04/2021,Bologna,Torino,1,1,D,2.4,3.4,2.87,2.55,3.25,2.85,2.65,3.5,2.94,2.55,3.32,2.83,1.8,2.0,2.12,1.9,2.02,1.8,2,2020/2021
26/04/2021,Torino,Napoli,0,2,A,4.75,3.75,1.72,4.33,4.0,1.75,4.75,4.16,1.81,4.4,3.96,1.76,1.72,2.1,2.26,1.76,2.16,1.7,0,2020/2021
03/05/2021,Torino,Parma,1,0,H,1.57,4.33,5.25,1.57,4.4,5.25,1.65,4.54,5.75,1.59,4.32,5.4,1.53,2.5,2.55,1.64,2.43,1.56,0,2020/2021
09/05/2021,Verona,Torino,1,1,D,3.0,3.3,2.35,3.0,3.4,2.35,3.11,3.56,2.49,3.02,3.42,2.36,1.8,2.0,2.06,1.9,1.98,1.84,6,2020/2021
12/05/2021,Torino,Milan,0,7,A,3.8,3.8,1.85,3.9,3.9,1.87,4.1,4.2,1.93,3.88,3.96,1.87,1.66,2.2,2.33,1.71,2.24,1.66,2,2020/2021
15/05/2021,Spezia,Torino,4,1,H,3.3,2.9,2.45,3.2,2.95,2.5,3.4,3.44,2.56,3.24,3.0,2.46,1.8,2.0,2.09,1.88,2.03,1.8,5,2020/2021
18/05/2021,Lazio,Torino,0,0,D,2.05,3.25,3.8,2.05,3.3,3.9,2.21,3.51,4.2,2.11,3.25,3.77,1.66,2.2,2.33,1.72,2.23,1.66,1,2020/2021
23/05/2021,Torino,Benevento,1,1,D,1.75,4.33,3.9,1.8,4.25,3.8,1.87,4.53,4.2,1.8,4.24,3.91,1.53,2.5,2.66,1.55,2.53,1.52,6,2020/2021
21/08/2021,Torino,Atalanta,1,2,A,5.5,4.33,1.55,5.0,4.25,1.62,5.75,4.48,1.65,5.43,4.23,1.6,1.57,2.37,2.52,1.61,2.43,1.57,5,2021/2022
28/08/2021,Fiorentina,Torino,2,1,H,2.2,3.4,3.25,2.2,3.4,3.3,2.3,3.59,3.51,2.21,3.45,3.31,1.8,2.0,2.08,1.87,2.03,1.81,5,2021/2022
12/09/2021,Torino,Salernitana,4,0,H,1.57,4.2,5.75,1.6,4.1,5.5,1.65,4.28,6.5,1.6,4.08,5.79,1.8,2.0,2.09,1.89,2.01,1.83,6,2021/2022
17/09/2021,Sassuolo,Torino,0,1,A,1.72,4.0,4.33,1.8,3.8,4.33,1.85,4.06,4.53,1.8,3.95,4.29,1.53,2.5,2.6,1.59,2.48,1.54,4,2021/2022
23/09/2021,Torino,Lazio,1,1,D,3.25,3.5,2.15,3.3,3.4,2.2,3.6,3.6,2.27,3.34,3.44,2.2,1.72,2.1,2.24,1.77,2.17,1.7,3,2021/2022
