HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Verona,Roma,0,0,D,3.75,3.5,1.95,3.6,3.5,2.0,4.0,3.81,2.08,3.82,3.65,1.96,1.8,2.0,2.13,1.87,2.03,1.79,0.0,False,False,19,9,2020,5
Roma,Juventus,2,2,D,3.6,3.6,2.0,3.7,3.6,2.0,3.86,3.75,2.1,3.61,3.57,2.03,1.72,2.1,2.2,1.85,2.08,1.74,4.0,False,True,27,9,2020,6
Udinese,Roma,0,1,A,5.0,4.0,1.66,5.25,3.9,1.65,5.5,4.2,1.74,5.1,3.98,1.66,1.72,2.1,2.3,1.77,2.17,1.69,1.0,True,False,3,10,2020,5
Roma,Benevento,5,2,H,1.33,5.5,8.5,1.3,5.75,9.25,1.38,5.75,10.09,1.33,5.4,8.86,1.53,2.5,2.63,1.56,2.51,1.52,7.0,True,True,18,10,2020,6
Milan,Roma,3,3,D,2.05,3.6,3.3,2.1,3.6,3.25,2.19,3.88,3.5,2.12,3.63,3.29,1.61,2.3,2.41,1.7,2.26,1.63,6.0,False,True,26,10,2020,0
Roma,Fiorentina,2,0,H,1.75,3.8,4.2,1.8,4.0,4.1,1.91,4.2,4.33,1.83,3.95,4.04,1.53,2.5,2.68,1.59,2.5,1.53,2.0,True,False,1,11,2020,6
Genoa,Roma,1,3,A,5.75,4.2,1.53,5.75,4.2,1.57,6.0,4.68,1.63,5.6,4.4,1.56,1.57,2.37,2.55,1.61,2.41,1.56,4.0,True,True,8,11,2020,6
Roma,Parma,3,0,H,1.5,4.75,5.75,1.5,4.75,5.75,1.56,5.05,6.65,1.49,4.81,5.89,1.44,2.75,2.95,1.46,2.79,1.42,3.0,True,True,22,11,2020,6
Napoli,Roma,4,0,H,2.1,3.8,3.1,2.15,3.7,3.2,2.28,4.03,3.4,2.17,3.69,3.16,1.53,2.5,2.57,1.66,2.43,1.55,4.0,True,True,29,11,2020,6
Roma,Sassuolo,0,0,D,1.66,4.33,4.5,1.67,4.25,4.6,1.78,4.5,4.7,1.71,4.21,4.43,1.4,3.0,3.0,1.45,2.85,1.41,0.0,False,False,6,12,2020,6
