Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
13/08/2022,Lecce,Inter,1,2,A,10.0,5.75,1.28,9.75,5.5,1.3,12.0,6.15,1.33,10.22,5.67,1.3,1.57,2.37,2.46,1.65,2.37,1.6,5,2022/2023
20/08/2022,Sassuolo,Lecce,1,0,H,1.75,4.0,4.2,1.8,3.9,4.1,1.84,4.2,4.55,1.79,3.99,4.24,1.61,2.3,2.39,1.69,2.29,1.63,5,2022/2023
28/08/2022,Lecce,Empoli,1,1,D,2.3,3.5,3.0,2.35,3.4,2.95,2.54,3.6,3.12,2.39,3.45,2.97,1.8,2.0,2.12,1.87,2.05,1.79,6,2022/2023
31/08/2022,Napoli,Lecce,1,1,D,1.25,6.25,11.0,1.27,6.0,10.0,1.29,6.7,13.0,1.26,6.24,10.99,1.44,2.75,2.88,1.49,2.74,1.45,2,2022/2023
05/09/2022,Torino,Lecce,1,0,H,1.7,3.75,5.25,1.73,3.6,5.0,1.78,4.13,5.51,1.73,3.7,5.11,1.9,2.0,2.21,1.91,1.99,1.83,0,2022/2023
11/09/2022,Lecce,Monza,1,1,D,2.25,3.4,3.2,2.25,3.4,3.2,2.4,3.46,3.31,2.3,3.35,3.21,2.02,1.88,1.91,2.04,1.84,1.97,6,2022/2023
16/09/2022,Salernitana,Lecce,1,2,A,2.25,3.3,3.3,2.2,3.3,3.25,2.3,3.46,3.57,2.25,3.33,3.37,2.06,1.84,1.88,2.07,1.81,2.01,4,2022/2023
02/10/2022,Lecce,Cremonese,1,1,D,2.05,3.4,3.75,2.05,3.4,3.6,2.17,3.6,3.75,2.08,3.47,3.6,2.03,1.87,1.96,2.07,1.83,1.99,6,2022/2023
09/10/2022,Roma,Lecce,2,1,H,1.33,5.25,8.5,1.37,5.0,8.5,1.38,5.25,10.0,1.36,4.98,9.21,1.84,2.06,2.1,1.9,2.0,1.83,6,2022/2023
17/10/2022,Lecce,Fiorentina,1,1,D,3.75,3.4,2.05,3.6,3.4,2.05,4.1,3.45,2.15,3.83,3.32,2.07,2.1,1.72,1.79,2.2,1.72,2.13,0,2022/2023
23/10/2022,Bologna,Lecce,2,0,H,2.15,3.2,3.75,2.2,3.2,3.4,2.25,3.4,3.79,2.19,3.21,3.62,2.2,1.66,1.72,2.29,1.67,2.21,6,2022/2023
29/10/2022,Lecce,Juventus,0,1,A,4.33,3.3,1.9,4.33,3.4,1.87,4.75,3.62,1.95,4.42,3.42,1.89,2.2,1.66,1.78,2.24,1.7,2.15,5,2022/2023
04/11/2022,Udinese,Lecce,1,1,D,1.61,3.9,5.5,1.63,3.8,5.5,1.72,4.04,6.0,1.65,3.85,5.66,1.99,1.91,1.96,2.0,1.88,1.94,4,2022/2023
09/11/2022,Lecce,Atalanta,2,1,H,4.75,3.5,1.8,4.5,3.5,1.8,5.03,3.82,1.86,4.7,3.6,1.8,2.06,1.84,1.88,2.11,1.81,2.02,2,2022/2023
12/11/2022,Sampdoria,Lecce,0,2,A,2.62,3.0,3.0,2.55,3.1,2.87,2.78,3.17,3.1,2.66,3.05,2.93,2.5,1.53,1.63,2.53,1.56,2.43,5,2022/2023
04/01/2023,Lecce,Lazio,2,1,H,3.6,3.3,2.05,3.7,3.2,2.1,3.91,3.44,2.2,3.72,3.26,2.13,2.3,1.62,1.7,2.38,1.63,2.3,2,2022/2023
08/01/2023,Spezia,Lecce,0,0,D,2.6,3.1,2.9,2.55,3.1,2.85,2.72,3.23,3.1,2.62,3.08,2.95,2.2,1.67,1.75,2.28,1.69,2.2,6,2022/2023
