HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Pacos Ferreira,Sp Lisbon,0,2,A,3.6,3.2,2.1,3.8,3.1,2.15,3.84,3.42,2.22,3.57,3.15,2.13,2.07,1.72,1.8,2.21,1.71,2.11,2.0,True,True,27,9,2020,6
Portimonense,Sp Lisbon,0,2,A,4.2,3.6,1.83,4.1,3.75,1.87,4.2,3.75,2.03,3.89,3.54,1.9,1.95,1.85,1.99,2.0,1.87,1.9,2.0,True,True,4,10,2020,6
Sp Lisbon,Porto,2,2,D,3.0,3.25,2.1,3.6,3.4,2.1,3.78,3.58,2.2,3.53,3.35,2.09,2.1,1.7,1.8,2.24,1.71,2.12,4.0,False,False,17,10,2020,5
Santa Clara,Sp Lisbon,1,2,A,4.0,3.4,1.9,4.33,3.5,1.87,4.62,3.55,1.93,4.24,3.41,1.86,2.15,1.66,1.75,2.21,1.69,2.15,3.0,True,False,24,10,2020,5
Sp Lisbon,Gil Vicente,3,1,H,1.44,4.5,7.5,1.42,4.4,7.25,1.5,4.57,8.0,1.45,4.26,7.25,1.95,1.85,1.92,2.05,1.85,1.95,4.0,True,False,28,10,2020,2
Sp Lisbon,Tondela,4,0,H,1.4,4.5,8.0,1.4,4.6,8.25,1.47,4.86,8.53,1.41,4.42,7.65,1.93,1.93,1.98,1.98,1.89,1.9,4.0,True,False,1,11,2020,6
Guimaraes,Sp Lisbon,0,4,A,3.8,3.0,2.1,3.8,3.25,2.1,3.8,3.36,2.19,3.58,3.23,2.1,2.25,1.61,1.7,2.38,1.63,2.24,4.0,True,False,7,11,2020,5
Sp Lisbon,Moreirense,2,1,H,1.25,5.75,11.0,1.3,5.5,10.5,1.3,6.29,13.0,1.26,5.67,10.8,1.61,2.25,2.37,1.68,2.27,1.62,3.0,True,True,28,11,2020,5
Famalicao,Sp Lisbon,2,2,D,5.75,4.2,1.53,5.5,4.5,1.55,5.9,4.52,1.6,5.47,4.25,1.55,1.65,2.2,2.31,1.7,2.22,1.64,4.0,False,True,5,12,2020,5
Sp Lisbon,Farense,1,0,H,1.3,5.5,8.5,1.33,5.5,8.5,1.35,5.91,10.16,1.31,5.34,8.91,1.6,2.3,2.43,1.63,2.32,1.58,1.0,True,False,19,12,2020,5
